LIFESTAGE,PREMIUM_CUSTOMER,PROD_NAME,TOT_SALES
OLDER SINGLES/COUPLES,Budget,ThinsPotatoChipsHotSpicy175g,1306.8
RETIREES,Budget,ThinsChipsSeasonedchicken175g,1303.5
RETIREES,Budget,CobsPopdSourCrmChivesChips110g,1303.3999999999999
OLDER FAMILIES,Mainstream,DoritosCornChipsOriginal170g,1302.4
OLDER SINGLES/COUPLES,Mainstream,ThinsChipsLightTangy175g,1300.1999999999998
MIDAGE SINGLES/COUPLES,Mainstream,CobsPopdSourCrmChivesChips110g,1299.6
OLDER FAMILIES,Premium,SmithsCrnkleChipOrgnlBigBag380g,1298.0
OLDER SINGLES/COUPLES,Premium,ThinsChipsSaltVinegar175g,1287.0
YOUNG FAMILIES,Budget,ThinsChipsLightTangy175g,1283.6999999999998
RETIREES,Premium,DoritosCornChipsCheeseSupreme170g,1276.0
RETIREES,Premium,CobsPopdSeaSaltChips110g,1269.2
OLDER FAMILIES,Mainstream,DoritosCornChipsCheeseSupreme170g,1262.8000000000002
RETIREES,Premium,DoritosCornChipsNachoCheese170g,1240.8000000000002
RETIREES,Budget,ThinsPotatoChipsHotSpicy175g,1224.3
RETIREES,Premium,CobsPopdSourCrmChivesChips110g,1223.6
OLDER FAMILIES,Mainstream,CobsPopdSwtChlliSrCreamChips110g,1219.8
MIDAGE SINGLES/COUPLES,Mainstream,DoritosCornChipsOriginal170g,1218.8000000000002
MIDAGE SINGLES/COUPLES,Mainstream,DoritosCornChipMexicanJalapeno150g,1205.1
YOUNG FAMILIES,Mainstream,CobsPopdSwtChlliSrCreamChips110g,1200.8
RETIREES,Premium,CobsPopdSwtChlliSrCreamChips110g,1197.0
YOUNG FAMILIES,Mainstream,DoritosCornChipsCheeseSupreme170g,1196.8000000000002
YOUNG FAMILIES,Premium,CobsPopdSwtChlliSrCreamChips110g,1193.2
YOUNG FAMILIES,Mainstream,DoritosCornChipsOriginal170g,1192.4
YOUNG FAMILIES,Premium,DoritosCornChipsNachoCheese170g,1188.0
YOUNG FAMILIES,Premium,DoritosCornChipsCheeseSupreme170g,1183.6000000000001
YOUNG FAMILIES,Mainstream,CobsPopdSeaSaltChips110g,1181.8
RETIREES,Premium,ThinsPotatoChipsHotSpicy175g,1178.1
MIDAGE SINGLES/COUPLES,Mainstream,CobsPopdSwtChlliSrCreamChips110g,1178.0
MIDAGE SINGLES/COUPLES,Mainstream,DoritosCornChipsCheeseSupreme170g,1174.8000000000002
RETIREES,Premium,DoritosCornChipMexicanJalapeno150g,1173.8999999999999
YOUNG FAMILIES,Premium,TostitosSmokedChipotle175g,1170.4
OLDER FAMILIES,Mainstream,CobsPopdSeaSaltChips110g,1170.3999999999999
YOUNG FAMILIES,Mainstream,DoritosCornChipMexicanJalapeno150g,1170.0
MIDAGE SINGLES/COUPLES,Mainstream,DoritosCornChipSouthernChicken150g,1166.1
RETIREES,Premium,ThinsChipsLightTangy175g,1164.8999999999999
YOUNG FAMILIES,Mainstream,DoritosCornChipSouthernChicken150g,1162.2
MIDAGE SINGLES/COUPLES,Premium,SmithsCrnkleChipOrgnlBigBag380g,1156.4
MIDAGE SINGLES/COUPLES,Mainstream,CobsPopdSeaSaltChips110g,1136.2
OLDER FAMILIES,Mainstream,ThinsPotatoChipsHotSpicy175g,1128.6
OLDER FAMILIES,Mainstream,DoritosCornChipSouthernChicken150g,1127.1
YOUNG FAMILIES,Premium,CobsPopdSourCrmChivesChips110g,1098.2
OLDER FAMILIES,Mainstream,ThinsChipsLightTangy175g,1085.7
RETIREES,Budget,ThinsChipsSaltVinegar175g,1085.7
OLDER FAMILIES,Premium,DoritosCornChipsNachoCheese170g,1069.2
RETIREES,Premium,DoritosCornChipSouthernChicken150g,1064.7
YOUNG FAMILIES,Mainstream,DoritosCornChipsNachoCheese170g,1051.6000000000001
YOUNG FAMILIES,Premium,DoritosCornChipMexicanJalapeno150g,1045.2
OLDER FAMILIES,Premium,TostitosSmokedChipotle175g,1025.2
